component,MacBook Pro,iPhone,iPad Pro
MergePersistentBuffer,0.012,0.056,0.062
EncodeBuffer,2.161,2.333,2.832
EncodeBuffer,2.159,2.331,2.832
AcquireEnvironmentScan,,,1.458
AcquireEnvironmentScan,,,1.457
GeneratePointCloud,0.065,0.194,0.221
GeneratePointCloud,0.061,0.193,0.22
UniSphereSampling,0.017,0.062,0.063
UniSphereSampling,0.013,0.061,0.062
MergeTemporaryBuffer,0.009,0.025,0.029
MergeTemporaryBuffer,0.005,0.024,0.028
MakeTriggeringDecision,1.342,2.186,3.04
MakeTriggeringDecision,1.338,2.185,3.039
MergePersistentBuffer,0.015,0.058,0.062
MergePersistentBuffer,0.011,0.057,0.061
EncodeBuffer,2.162,2.333,2.832
EncodeBuffer,2.158,2.332,2.831
AcquireEnvironmentScan,,,1.459
AcquireEnvironmentScan,,,1.458
GeneratePointCloud,0.066,0.198,0.222
GeneratePointCloud,0.062,0.192,0.221
UniSphereSampling,0.018,0.066,0.064
UniSphereSampling,0.014,0.06,0.063
MergeTemporaryBuffer,0.01,0.029,0.03
MergeTemporaryBuffer,0.006,0.023,0.029
MakeTriggeringDecision,1.343,2.19,3.041
MakeTriggeringDecision,1.339,2.184,3.04
MergePersistentBuffer,0.016,0.062,0.063
MergePersistentBuffer,0.012,0.056,0.062
EncodeBuffer,2.163,2.337,2.833
EncodeBuffer,2.159,2.331,2.832
AcquireEnvironmentScan,,,1.461
AcquireEnvironmentScan,,,1.457
GeneratePointCloud,0.063,0.194,0.224
GeneratePointCloud,0.062,0.192,0.22
UniSphereSampling,0.015,0.062,0.066
UniSphereSampling,0.014,0.06,0.062
MergeTemporaryBuffer,0.007,0.025,0.032
MergeTemporaryBuffer,0.006,0.023,0.028
MakeTriggeringDecision,1.34,2.186,3.043
MakeTriggeringDecision,1.339,2.184,3.039
MergePersistentBuffer,0.013,0.058,0.065
MergePersistentBuffer,0.012,0.056,0.061
EncodeBuffer,2.16,2.333,2.835
EncodeBuffer,2.159,2.331,2.831
AcquireEnvironmentScan,,,1.458
AcquireEnvironmentScan,,,1.456
GeneratePointCloud,0.064,0.193,0.221
GeneratePointCloud,0.063,0.192,0.219
UniSphereSampling,0.016,0.061,0.063
UniSphereSampling,0.015,0.06,0.061
MergeTemporaryBuffer,0.008,0.024,0.029
MergeTemporaryBuffer,0.007,0.023,0.027
MakeTriggeringDecision,1.341,2.185,3.04
MakeTriggeringDecision,1.34,2.184,3.038
MergePersistentBuffer,0.014,0.057,0.062
MergePersistentBuffer,0.013,0.056,0.06
EncodeBuffer,2.161,2.332,2.832
EncodeBuffer,2.16,2.331,2.83
AcquireEnvironmentScan,,,1.459
AcquireEnvironmentScan,,,1.458
GeneratePointCloud,0.063,0.193,0.222
GeneratePointCloud,0.063,0.19,0.221
UniSphereSampling,0.015,0.061,0.064
UniSphereSampling,0.015,0.058,0.063
MergeTemporaryBuffer,0.007,0.024,0.03
MergeTemporaryBuffer,0.007,0.021,0.029
MakeTriggeringDecision,1.34,2.185,3.041
MakeTriggeringDecision,1.34,2.182,3.04
MergePersistentBuffer,0.013,0.057,0.063
MergePersistentBuffer,0.013,0.054,0.062
EncodeBuffer,2.16,2.332,2.833
EncodeBuffer,2.16,2.329,2.832
AcquireEnvironmentScan,,,1.459
AcquireEnvironmentScan,,,1.456
GeneratePointCloud,0.064,0.194,0.222
GeneratePointCloud,0.063,0.192,0.219
UniSphereSampling,0.016,0.062,0.064
UniSphereSampling,0.015,0.06,0.061
MergeTemporaryBuffer,0.008,0.025,0.03
MergeTemporaryBuffer,0.007,0.023,0.027
MakeTriggeringDecision,1.341,2.186,3.041
MakeTriggeringDecision,1.34,2.184,3.038
MergePersistentBuffer,0.014,0.058,0.063
MergePersistentBuffer,0.013,0.056,0.06
EncodeBuffer,2.161,2.333,2.833
EncodeBuffer,2.16,2.331,2.83
AcquireEnvironmentScan,,,1.46
AcquireEnvironmentScan,,,1.457
GeneratePointCloud,0.063,0.193,0.223
GeneratePointCloud,0.062,0.191,0.22
UniSphereSampling,0.015,0.061,0.065
UniSphereSampling,0.014,0.059,0.062
MergeTemporaryBuffer,0.007,0.024,0.031
MergeTemporaryBuffer,0.006,0.022,0.028
MakeTriggeringDecision,1.34,2.185,3.042
MakeTriggeringDecision,1.339,2.183,3.039
MergePersistentBuffer,0.013,0.057,0.064
MergePersistentBuffer,0.012,0.055,0.061
EncodeBuffer,2.16,2.332,2.834
EncodeBuffer,2.159,2.33,2.831
AcquireEnvironmentScan,,,1.459
AcquireEnvironmentScan,,,1.456
GeneratePointCloud,0.064,0.193,0.222
GeneratePointCloud,0.06,0.193,0.219
UniSphereSampling,0.016,0.061,0.064
UniSphereSampling,0.012,0.061,0.061
MergeTemporaryBuffer,0.008,0.024,0.03
MergeTemporaryBuffer,0.004,0.024,0.027
MakeTriggeringDecision,1.341,2.185,3.041
MakeTriggeringDecision,1.337,2.185,3.038
MergePersistentBuffer,0.014,0.057,0.063
MergePersistentBuffer,0.01,0.057,0.06
EncodeBuffer,2.161,2.332,2.833
EncodeBuffer,2.157,2.332,2.83
AcquireEnvironmentScan,,,1.459
AcquireEnvironmentScan,,,1.457
GeneratePointCloud,0.064,0.194,0.222
GeneratePointCloud,0.062,0.193,0.22
UniSphereSampling,0.016,0.062,0.064
UniSphereSampling,0.014,0.061,0.062
MergeTemporaryBuffer,0.008,0.025,0.03
MergeTemporaryBuffer,0.006,0.024,0.028
MakeTriggeringDecision,1.341,2.186,3.041
MakeTriggeringDecision,1.339,2.185,3.039
MergePersistentBuffer,0.014,0.058,0.063
MergePersistentBuffer,0.012,0.057,0.061
EncodeBuffer,2.161,2.333,2.833
EncodeBuffer,2.159,2.332,2.831
AcquireEnvironmentScan,,,1.458
AcquireEnvironmentScan,,,1.458
GeneratePointCloud,0.064,0.194,0.221
GeneratePointCloud,0.062,0.192,0.221
UniSphereSampling,0.016,0.062,0.063
UniSphereSampling,0.014,0.06,0.063
MergeTemporaryBuffer,0.008,0.025,0.029
MergeTemporaryBuffer,0.006,0.023,0.029
MakeTriggeringDecision,1.341,2.186,3.04
MakeTriggeringDecision,1.339,2.184,3.04
MergePersistentBuffer,0.014,0.058,0.062
MergePersistentBuffer,0.012,0.056,0.062
EncodeBuffer,2.161,2.333,2.832
EncodeBuffer,2.159,2.331,2.832
AcquireEnvironmentScan,,,1.458
AcquireEnvironmentScan,,,1.457
GeneratePointCloud,0.065,0.194,0.221
GeneratePointCloud,0.061,0.193,0.22
UniSphereSampling,0.017,0.062,0.063
UniSphereSampling,0.013,0.061,0.062
MergeTemporaryBuffer,0.009,0.025,0.029
MergeTemporaryBuffer,0.005,0.024,0.028
MakeTriggeringDecision,1.342,2.186,3.04
MakeTriggeringDecision,1.338,2.185,3.039
MergePersistentBuffer,0.015,0.058,0.062
MergePersistentBuffer,0.011,0.057,0.061
EncodeBuffer,2.162,2.333,2.832
EncodeBuffer,2.158,2.332,2.831
AcquireEnvironmentScan,,,1.459
AcquireEnvironmentScan,,,1.458
GeneratePointCloud,0.066,0.198,0.222
GeneratePointCloud,0.062,0.192,0.221
UniSphereSampling,0.018,0.066,0.064
UniSphereSampling,0.014,0.06,0.063
MergeTemporaryBuffer,0.01,0.029,0.03
MergeTemporaryBuffer,0.006,0.023,0.029
MakeTriggeringDecision,1.343,2.19,3.041
MakeTriggeringDecision,1.339,2.184,3.04
MergePersistentBuffer,0.016,0.062,0.063
MergePersistentBuffer,0.012,0.056,0.062
EncodeBuffer,2.163,2.337,2.833
EncodeBuffer,2.159,2.331,2.832
AcquireEnvironmentScan,,,1.461
AcquireEnvironmentScan,,,1.457
GeneratePointCloud,0.063,0.194,0.224
GeneratePointCloud,0.062,0.192,0.22
UniSphereSampling,0.015,0.062,0.066
UniSphereSampling,0.014,0.06,0.062
MergeTemporaryBuffer,0.007,0.025,0.032
MergeTemporaryBuffer,0.006,0.023,0.028
MakeTriggeringDecision,1.34,2.186,3.043
MakeTriggeringDecision,1.339,2.184,3.039
MergePersistentBuffer,0.013,0.058,0.065
MergePersistentBuffer,0.012,0.056,0.061
EncodeBuffer,2.16,2.333,2.835
EncodeBuffer,2.159,2.331,2.831
AcquireEnvironmentScan,,,1.458
AcquireEnvironmentScan,,,1.456
GeneratePointCloud,0.064,0.193,0.221
GeneratePointCloud,0.063,0.192,0.219
UniSphereSampling,0.016,0.061,0.063
UniSphereSampling,0.015,0.06,0.061
MergeTemporaryBuffer,0.008,0.024,0.029
MergeTemporaryBuffer,0.007,0.023,0.027
MakeTriggeringDecision,1.341,2.185,3.04
MakeTriggeringDecision,1.34,2.184,3.038
MergePersistentBuffer,0.014,0.057,0.062
MergePersistentBuffer,0.013,0.056,0.06
EncodeBuffer,2.161,2.332,2.832
EncodeBuffer,2.16,2.331,2.83
